time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/learning_rate,train/n_updates,train/std,train/clip_range,train/loss,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/explained_variance
101,-23.00474385,696.91,506,206848,408,-1.8570195347070695,0.0003,1000,0.6130833625793457,0.2,214.68324279785156,56.32723184302449,0.09306640625,-0.008941399362811353,0.01091506,0.8504746109247208
102,-25.00603086,685.59,505,208896,413,-1.8528474416583776,0.0003,1010,0.6114946007728577,0.2,41.55818176269531,103.95756401717662,0.082861328125,-0.005449900035455357,0.008095545,0.6962164342403412
103,-21.876667970000003,680.95,504,210944,417,-1.8484757222235202,0.0003,1020,0.6092609167098999,0.2,159.94886779785156,147.55376742482184,0.052490234375,-0.0030683887001941913,0.0086928755,0.6027778387069702
104,-20.860188590000007,683.64,504,212992,422,-1.8409122850745916,0.0003,1030,0.6085569858551025,0.2,21.64078140258789,44.64967704564333,0.0732421875,0.00048389237781520933,0.007263082,0.8453404903411865
105,-19.41509599,689.72,503,215040,426,-1.8050275042653083,0.0003,1040,0.5900808572769165,0.2,1.235007882118225,29.343030996993186,0.097119140625,-0.0009069298772374168,0.0075678593,0.7986262291669846
106,-22.47559542,687.99,502,217088,432,-1.7767388891428708,0.0003,1050,0.5896713733673096,0.2,61.259239196777344,121.2807999625802,0.065478515625,-0.0013587636247393675,0.00823568,0.45863187313079834
107,-19.738130419999997,681.76,501,219136,436,-1.7726371739059688,0.0003,1060,0.587479293346405,0.2,6.837747573852539,33.93110465221107,0.07939453125,-0.004427345332078403,0.011692629,0.8878673240542412
108,-19.51677623,683.31,501,221184,440,-1.768845797330141,0.0003,1070,0.5862271785736084,0.2,65.1685562133789,100.55856147557498,0.065234375,-0.004857332135725301,0.009597361,0.5074163973331451
109,-19.419169710000002,693.61,500,223232,446,-1.7634510204195977,0.0003,1080,0.5823477506637573,0.2,8.305068969726562,88.066490015015,0.072607421875,-0.0014483390157693065,0.009377353,0.6271326839923859
110,-21.350350340000006,686.83,500,225280,450,-1.7655044600367547,0.0003,1090,0.587668776512146,0.2,2.13981032371521,34.92880851849914,0.1009765625,-0.0037002188662881965,0.0074831806,0.8704275041818619
111,-24.085211529999995,672.09,500,227328,453,-1.7719314325600863,0.0003,1100,0.5881611108779907,0.2,22.464618682861328,104.87908985316753,0.05869140625,-0.0033819274278357623,0.008062255,0.7457273006439209
112,-20.29718338,675.03,501,229376,457,-1.7738073956221343,0.0003,1110,0.5885965824127197,0.2,87.1776351928711,220.29737160503865,0.033056640625,-0.003450577180774417,0.005950058,0.6218639612197876
113,-18.72135266,678.66,500,231424,461,-1.7720201667398214,0.0003,1120,0.5882668495178223,0.2,7.640855312347412,68.72457205355167,0.04697265625,-0.0003358657002536347,0.004846811,0.8058067560195923
114,-19.100493390000004,681.12,500,233472,466,-1.7801212903112174,0.0003,1130,0.5924717783927917,0.2,51.00126647949219,91.36035741865635,0.096240234375,-0.0017351810449326877,0.010484821,0.7347043752670288
115,-20.46007192,683.49,501,235520,469,-1.7878694474697112,0.0003,1140,0.5911010503768921,0.2,3.4710710048675537,72.95746033936739,0.086962890625,-0.0024982565366372,0.0046084104,0.7580366730690002
116,-19.336744690000003,685.79,500,237568,474,-1.7566199637949467,0.0003,1150,0.5751559138298035,0.2,1.5340136289596558,80.69131554923952,0.064453125,-0.0025292180696851576,0.0064839916,0.7266264855861664
117,-20.843346179999998,688.08,500,239616,478,-1.715722893178463,0.0003,1160,0.5655350685119629,0.2,1.6866035461425781,46.455216788873074,0.11162109375,-0.004626276061753742,0.00879271,0.8510362356901169
