time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/value_loss,train/loss
6144,551.1818181818181,-296.571983,3,7,838,0.0042660725,0.06993687152862549,0.0003,1250,-0.8964549532160163,-0.003112673324358184,0.2,0.043701171875,102.34129309952259,13.691374778747559
8192,534.5333333333333,-314.72976613333327,4,9,830,0.008400281,0.7406884431838989,0.0003,1260,-0.861863573640585,-0.0020008272054838016,0.2,0.0759765625,140.40607295483352,77.77693939208984
10240,546.0,-316.0830847647059,5,13,758,0.0066365707,0.653355747461319,0.0003,1270,-0.9384537437930703,-0.0015692066226620227,0.2,0.061083984375,116.66960526555776,36.12501907348633
12288,568.9047619047619,-310.9950834761904,6,16,762,0.027565258,0.7140085697174072,0.0003,1280,-0.9751462168991566,-0.003951556871106732,0.2,0.145654296875,49.132753478363156,2.779338836669922
14336,596.2083333333334,-307.58577008333333,7,18,765,0.0029450099,0.6397837400436401,0.0003,1290,-0.8018782924860716,-0.0004949377907905728,0.2,0.039697265625,154.85894098430873,44.84637451171875
16384,584.5714285714286,-299.8564494285714,8,21,762,0.0052965237,0.5132341682910919,0.0003,1300,-0.7826204065233469,-0.0030848153728584293,0.2,0.049365234375,126.33850564807653,105.87454986572266
18432,570.09375,-307.66274896875,9,23,783,0.004843798,0.5580004751682281,0.0003,1310,-0.8587610810995102,-0.000627414741757093,0.2,0.016015625,195.5118451565504,47.27863693237305
20480,570.6285714285714,-301.2345431142857,10,25,789,0.0067009954,0.8643314987421036,0.0003,1320,-0.8192601764574647,-0.0021345521206967534,0.2,0.05107421875,75.29011273682117,13.423944473266602
22528,553.175,-296.914321525,11,28,794,0.009573771,0.5432659089565277,0.0003,1330,-0.9365432675927877,-0.002671049918353674,0.2,0.052001953125,153.25180139839648,63.16105270385742
24576,574.452380952381,-296.69302059523807,12,31,792,0.0028959443,0.5996460020542145,0.0003,1340,-0.8122955551370978,-0.001286170201638015,0.2,0.02333984375,181.06125807762146,43.4952507019043
26624,586.0444444444445,-298.32478397777777,13,33,787,0.013862766,0.7477924823760986,0.0003,1350,-0.7023888567462564,-0.002093402152968338,0.2,0.139697265625,43.93265518322587,3.1490390300750732
28672,595.2291666666666,-297.4263898125,14,36,790,0.03315582,0.8643409162759781,0.0003,1360,-0.8331415586173534,-0.005324288207339123,0.2,0.2513671875,61.47565126046538,0.5050387978553772
30720,596.94,-298.6162031,15,38,791,0.011494177,0.4005807638168335,0.0003,1370,-0.8170885579660535,-0.0015985016587364953,0.2,0.09638671875,72.37125869598239,58.64339828491211
32768,601.6481481481482,-295.36544342592595,16,41,789,0.031014705,0.6383362710475922,0.0003,1380,-0.7791398802772165,-0.0022124350391095502,0.2,0.1283203125,52.835679025016724,22.965505599975586
34816,593.1379310344828,-291.1320506551724,17,43,792,0.0037961765,0.44713181257247925,0.0003,1390,-0.7784903628751636,-0.000744672629662091,0.2,0.0185546875,151.75196644514799,20.410398483276367
36864,574.640625,-287.409180015625,18,46,797,0.0058000963,0.6909811198711395,0.0003,1400,-0.6492261413484812,-0.002446637403409113,0.2,0.07607421875,155.1212916344404,9.862935066223145
