time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl,train/loss
5,10240,11,862,536.7368421052631,-316.8241851052632,0.05146484375,0.0003,-0.0027339236839907244,1270,-0.6992396470159292,156.76150033473968,0.6634256541728973,0.2,0.0065129,78.841796875
6,12288,14,862,530.8695652173913,-309.93616813043485,0.069873046875,0.0003,-0.0019183002325007692,1280,-0.5845200244337321,142.72779442071914,0.7312034070491791,0.2,0.007486718,85.25686645507812
7,14336,16,863,536.2692307692307,-318.2454650769231,0.058447265625,0.0003,-0.003027845799806528,1290,-0.7325770376250148,115.43377981483937,0.8679094463586807,0.2,0.0070875753,20.500642776489258
8,16384,19,861,528.0967741935484,-309.47182145161287,0.055712890625,0.0003,-0.0004039223204017617,1300,-0.760208554007113,101.82517665475606,0.8880411684513092,0.2,0.005491768,20.795589447021484
9,18432,21,864,521.2285714285714,-310.257415,0.04287109375,0.0003,-0.0027189239302970237,1310,-0.7588764946907759,138.63597835302352,0.8879566788673401,0.2,0.0038069417,19.981548309326172
10,20480,23,862,510.84615384615387,-322.0531928974359,0.06650390625,0.0003,-0.003507124427051167,1320,-0.8097346497699618,136.34708497673273,0.8727147877216339,0.2,0.0062412648,128.5845947265625
11,22528,25,868,505.8863636363636,-325.5614466136364,0.026904296875,0.0003,-0.002245726550609106,1330,-0.8414127949625254,239.68668619394302,0.694636732339859,0.2,0.0038532487,13.609879493713379
12,24576,29,841,514.2765957446809,-324.48395985106384,0.031103515625,0.0003,-0.0023360706421954093,1340,-0.8040083669126034,226.62646760046482,0.7205640077590942,0.2,0.0037744322,25.58759117126465
13,26624,31,844,527.84,-322.02882346,0.06416015625,0.0003,-0.001495819135743659,1350,-0.706467162631452,105.53310706317424,0.8642912954092026,0.2,0.0093753915,19.132402420043945
14,28672,33,853,521.6666666666666,-329.9805108518519,0.0537109375,0.0003,-0.004780858276353684,1360,-0.6617995830252766,98.77863758504391,0.9311144724488258,0.2,0.005194577,62.24672317504883
15,30720,35,856,520.2586206896551,-334.01292862068965,0.087939453125,0.0003,-0.0017061962273146492,1370,-0.8308140516281128,133.5617338180542,0.6526195704936981,0.2,0.008439014,36.96323013305664
16,32768,37,864,514.4285714285714,-335.1454999365079,0.057861328125,0.0003,-0.0036503753679426156,1380,-0.7594921592622995,129.7684918731451,0.7917101830244064,0.2,0.007170739,12.077786445617676
17,34816,40,868,514.2388059701492,-333.7747087761194,0.06005859375,0.0003,-0.0050552410335512835,1390,-0.8051872216165066,235.8109021216631,0.49058109521865845,0.2,0.00465951,131.63365173339844
18,36864,42,869,516.8732394366198,-334.7784595915493,0.0361328125,0.0003,-0.002064000903556007,1400,-0.7886284625157713,151.62889223098756,0.8554475009441376,0.2,0.004120648,21.612749099731445
